"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar  al link https://www.demoblaze.com/","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:03:18.080839-05:00[America/Bogota]","0.0","0.32"
"Ingresar  al link www.demoblaze.com","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:04:50.6097648-05:00[America/Bogota]","0.0","0.33"
"Ingresar al link www.demoblaze.com","Ingresar a la Pagina web y registrarse","ERROR","2023-11-17T22:08:31.7570506-05:00[America/Bogota]","0.0","0.31"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesión About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:04:26.4367281-05:00[America/Bogota]","0.0","1.06"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:05:02.4325658-05:00[America/Bogota]","0.0","0.99"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo yCerrarlo","ERROR","2023-11-18T21:06:01.4691099-05:00[America/Bogota]","0.0","1.0"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video y cerrar","ERROR","2023-11-18T21:06:43.8299776-05:00[America/Bogota]","0.0","0.98"
"Ingresar al link www.demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","ERROR","2023-11-18T21:07:58.1906235-05:00[America/Bogota]","0.0","0.99"
"Ingresar al portale","Ingresar a la Pagina web y pedir","ERROR","2023-11-18T19:26:17.3599345-05:00[America/Bogota]","0.0","30.61"
